Gene,Protein.class,Disease_Related,Drug_Target,Enzyme,Kinase,Peptidase,GPCR,Transcription_Factor,Membrane_Protein
B4GALT3,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
DMTN,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
ADAMTS4,"Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters","","",Y,"","","","",Y
FAM160B2,Predicted intracellular proteins,"","","","","","","",""
NDUFS2,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Y,Y,Y,"","","","",Y
SLC5A11,"Metabolic proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
FCER1G,"FDA approved drug targets, Predicted membrane proteins","",Y,"","","","","",Y
APOA2,"Cancer-related genes, Candidate cardiovascular disease genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
TOMM40L,Predicted intracellular proteins,"","","","","","","",""
MPZ,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Y,"","","","","","",Y
WFDC8,Predicted secreted proteins,"","","","","","","",""
CCAR2,Predicted intracellular proteins,"","","","","","","",""
WNT9B,"Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
CACHD1,"Predicted membrane proteins, Transporters","","","","","","","",Y
CDC42SE2,Predicted intracellular proteins,"","","","","","","",""
RAPGEF6,Predicted intracellular proteins,"","","","","","","",""
EPB41,"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
MIS18A,Predicted intracellular proteins,"","","","","","","",""
ALG8,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins",Y,Y,Y,"","","","",Y
FBXW5,Predicted intracellular proteins,"","","","","","","",""
CFAP298,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
SYNJ1,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
PAXBP1,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
IFNAR2,"Cancer-related genes, Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Y,Y,"","","","","",Y
MRPL10,"Predicted intracellular proteins, Ribosomal proteins","","","","","","","",""
IFNGR2,"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins",Y,Y,"","","","","",Y
GART,"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","",Y,Y,"","","","",""
SON,"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters",Y,Y,"","","","","",""
DONSON,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Y,"","","","","","",Y
SV2A,"FDA approved drug targets, Predicted membrane proteins","",Y,"","","","","",Y
LAD1,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
STC1,"Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
TNNI1,Predicted intracellular proteins,"","","","","","","",""
CSRP1,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
PRAC1,Predicted intracellular proteins,"","","","","","","",""
HOXB13,"Disease related genes, Predicted intracellular proteins, Transcription factors",Y,"","","","","",Y,""
C1QC,"Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins",Y,"","","","","","",""
KCNE2,"Disease related genes, Human disease related genes, Predicted membrane proteins",Y,"","","","","","",Y
ATP5MC1,"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
RCAN1,"Human disease related genes, Predicted intracellular proteins","","","","","","","",""
UBE2Z,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
CIART,Predicted intracellular proteins,"","","","","","","",""
SNF8,Predicted intracellular proteins,"","","","","","","",""
CLIC6,"Predicted intracellular proteins, Transporters","","","","","","","",""
CCDC24,Predicted intracellular proteins,"","","","","","","",""
RUNX1,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors",Y,"","","","","",Y,""
IGF2BP1,Predicted intracellular proteins,"","","","","","","",""
GIP,"Plasma proteins, Predicted secreted proteins","","","","","","","",""
CBR1,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","","",Y,"","","","",""
CBR3,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
GJD2,"Predicted membrane proteins, Transporters","","","","","","","",Y
ACTC1,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
MORC3,Predicted intracellular proteins,"","","","","","","",""
CHAF1B,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
CLDN14,"Disease related genes, Human disease related genes, Predicted membrane proteins",Y,"","","","","","",Y
SIM2,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
HLCS,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
GOLGA6A,Predicted intracellular proteins,"","","","","","","",""
SCUBE1,"Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
ARHGAP27,Predicted intracellular proteins,"","","","","","","",""
ADPGK,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
PTMS,Predicted intracellular proteins,"","","","","","","",""
PLA2G4D,"Enzymes, Metabolic proteins, Predicted intracellular proteins, RAS pathway related proteins","","",Y,"","","","",""
PADI4,"Disease related genes, Enzymes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
ADIPOR1,"Predicted intracellular proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
CYB5R1,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
PSMD4,"Cancer-related genes, Predicted intracellular proteins","","","","","","","",""
ATP13A2,"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
M1AP,Predicted intracellular proteins,"","","","","","","",""
PSMB4,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"",Y,"","",""
IRX6,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
BTG2,"Cancer-related genes, Predicted intracellular proteins","","","","","","","",""
CES5A,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted secreted proteins","","",Y,"","","","",""
HK2,"Cancer-related genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","","",Y,"","","","",""
C1R,"Human disease related genes, Predicted intracellular proteins","","","","","","","",""
CELF3,Predicted intracellular proteins,"","","","","","","",""
ALDH4A1,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
STARD9,"Metabolic proteins, Predicted intracellular proteins","","","","","","","",""
THEM4,"Enzymes, Predicted intracellular proteins","","",Y,"","","","",""
TCHH,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
LCE2B,Predicted intracellular proteins,"","","","","","","",""
UBR1,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Y,Y,Y,"","","","",Y
AMFR,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins","","",Y,"","","","",Y
MED8,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
TGM7,"Cancer-related genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","","",Y,"","","","",""
RGL4,Predicted intracellular proteins,"","","","","","","",""
SPRR2G,Predicted intracellular proteins,"","","","","","","",""
PGLYRP3,"Metabolic proteins, Predicted secreted proteins","","","","","","","",""
ISL2,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
RSPRY1,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins",Y,"","","","","","",""
CCDC17,Predicted intracellular proteins,"","","","","","","",""
GPBP1L1,Predicted intracellular proteins,"","","","","","","",""
NAE1,"Metabolic proteins, Plasma proteins, Predicted intracellular proteins","","","","","","","",""
TMEM69,Predicted membrane proteins,"","","","","","","",Y
ADGRG5,"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins","","","","","",Y,"",Y
DRC7,Predicted intracellular proteins,"","","","","","","",""
ACE,"Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Y,Y,Y,"",Y,"","",Y
TEPP,"Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
UROC1,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
EFCAB14,Predicted membrane proteins,"","","","","","","",Y
SPON2,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
CHCHD6,Predicted intracellular proteins,"","","","","","","",""
CTBP1,"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
LRRC36,Predicted intracellular proteins,"","","","","","","",""
TPPP3,Predicted intracellular proteins,"","","","","","","",""
ZDHHC1,"Enzymes, Metabolic proteins, Predicted membrane proteins","","",Y,"","","","",Y
ATP6V0D1,"Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transporters","","","","","","","",""
AGRP,"Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins",Y,"","","","","","",""
ZFYVE28,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
CARMIL2,"Disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
C16orf86,Predicted intracellular proteins,"","","","","","","",""
PIP,"Plasma proteins, Predicted secreted proteins","","","","","","","",""
FAM131B,Predicted intracellular proteins,"","","","","","","",""
RGS12,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
PSKH1,"Enzymes, Metabolic proteins, Predicted membrane proteins","","",Y,Y,"","","",Y
ZYX,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
ABR,Predicted intracellular proteins,"","","","","","","",""
LYPD5,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
CCDC117,Predicted intracellular proteins,"","","","","","","",""
ZNF230,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
CCDC107,Predicted membrane proteins,"","","","","","","",Y
ZNF222,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
NPR2,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Y,Y,Y,Y,"","","",Y
ZNF221,Predicted intracellular proteins,"","","","","","","",""
ZNF233,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ZNF235,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
GNE,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Y,Y,Y,"","","","",Y
TNFRSF13C,"CD markers, Disease related genes, Human disease related genes, Predicted membrane proteins",Y,"","","","","","",Y
OR3A3,"G-protein coupled receptors, Predicted membrane proteins","","","","","",Y,"",Y
ARHGAP35,"Cancer-related genes, Predicted intracellular proteins","","","","","","","",""
