Gene,Protein.class,Disease_Related,Drug_Target,Enzyme,Kinase,Peptidase,GPCR,Transcription_Factor,Membrane_Protein
HIVEP2,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors",Y,"","","","","",Y,""
FMO1,"Enzymes, Metabolic proteins, Predicted membrane proteins","","",Y,"","","","",Y
ELOA,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
LYPLA2,"Metabolic proteins, Predicted intracellular proteins","","","","","","","",""
CLCN6,"Plasma proteins, Predicted membrane proteins","","","","","","","",Y
MRC2,"CD markers, Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
NME1-NME2,"Metabolic proteins, Predicted intracellular proteins","","","","","","","",""
SLC6A7,"Metabolic proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
TSPAN9,"Predicted membrane proteins, Transporters","","","","","","","",Y
BTBD7,Predicted intracellular proteins,"","","","","","","",""
APBA3,Predicted intracellular proteins,"","","","","","","",""
MKS1,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
